UKPRN,Provider_name,Question,Question_text,Theme,AgreePct,DisagreePct,n_respondents,CAH1,CAH1_label,Year
10007880,University of Manchester,Q11,How easy is it to contact teaching staff when you need to?,Academic support,83.6,16.4,4512,CAH10,Engineering and technology,2024
10007880,University of Manchester,Q15,How well have the library resources supported your learning?,Learning resources,88.9,11.1,4512,CAH10,Engineering and technology,2024
10007880,University of Manchester,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,69.7,30.3,4512,CAH10,Engineering and technology,2024
10007880,University of Manchester,Q19,How clear is it that students feedback on the course is acted on?,Student voice,57.3,42.7,4512,CAH10,Engineering and technology,2024
10007919,University of Sheffield,Q1,How good are staff at explaining things?,Teaching on my course,85.6,14.4,1987,CAH22,Education and teaching,2024
10007919,University of Sheffield,Q7,How well have the assignments and assessments allowed you to demonstrate what you have learned?,Assessment and feedback,76.8,23.2,1987,CAH22,Education and teaching,2024
10007919,University of Sheffield,Q11,How easy is it to contact teaching staff when you need to?,Academic support,87.9,12.1,1987,CAH22,Education and teaching,2024
10007919,University of Sheffield,Q15,How well have the library resources supported your learning?,Learning resources,87.1,12.9,1987,CAH22,Education and teaching,2024
10007919,University of Sheffield,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,77.2,22.8,1987,CAH22,Education and teaching,2024
10007919,University of Sheffield,Q19,How clear is it that students feedback on the course is acted on?,Student voice,66.4,33.6,1987,CAH22,Education and teaching,2024
10007163,Oxford Brookes University,Q1,How good are staff at explaining things?,Teaching on my course,88.9,11.1,1432,CAH17,Architecture building and planning,2024
10007163,Oxford Brookes University,Q7,How well have the assignments and assessments allowed you to demonstrate what you have learned?,Assessment and feedback,77.4,22.6,1432,CAH17,Architecture building and planning,2024
10007163,Oxford Brookes University,Q11,How easy is it to contact teaching staff when you need to?,Academic support,89.6,10.4,1432,CAH17,Architecture building and planning,2024
10007163,Oxford Brookes University,Q15,How well have the library resources supported your learning?,Learning resources,86.8,13.2,1432,CAH17,Architecture building and planning,2024
10007163,Oxford Brookes University,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,76.9,23.1,1432,CAH17,Architecture building and planning,2024
10007163,Oxford Brookes University,Q19,How clear is it that students feedback on the course is acted on?,Student voice,65.7,34.3,1432,CAH17,Architecture building and planning,2024
10006427,Nottingham Trent University,Q1,How good are staff at explaining things?,Teaching on my course,90.1,9.9,2198,CAH16,Law,2024
10006427,Nottingham Trent University,Q7,How well have the assignments and assessments allowed you to demonstrate what you have learned?,Assessment and feedback,79.2,20.8,2198,CAH16,Law,2024
10006427,Nottingham Trent University,Q11,How easy is it to contact teaching staff when you need to?,Academic support,91.3,8.7,2198,CAH16,Law,2024
10006427,Nottingham Trent University,Q15,How well have the library resources supported your learning?,Learning resources,88.5,11.5,2198,CAH16,Law,2024
10006427,Nottingham Trent University,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,78.6,21.4,2198,CAH16,Law,2024
10006427,Nottingham Trent University,Q19,How clear is it that students feedback on the course is acted on?,Student voice,68.3,31.7,2198,CAH16,Law,2024
10007767,University of Bath,Q1,How good are staff at explaining things?,Teaching on my course,88.4,11.6,1765,CAH08,Biological and sport sciences,2024
10007767,University of Bath,Q7,How well have the assignments and assessments allowed you to demonstrate what you have learned?,Assessment and feedback,75.6,24.4,1765,CAH08,Biological and sport sciences,2024
10007767,University of Bath,Q11,How easy is it to contact teaching staff when you need to?,Academic support,87.1,12.9,1765,CAH08,Biological and sport sciences,2024
10007767,University of Bath,Q15,How well have the library resources supported your learning?,Learning resources,89.7,10.3,1765,CAH08,Biological and sport sciences,2024
10007767,University of Bath,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,74.3,25.7,1765,CAH08,Biological and sport sciences,2024
10007767,University of Bath,Q19,How clear is it that students feedback on the course is acted on?,Student voice,62.9,37.1,1765,CAH08,Biological and sport sciences,2024
10005261,University of the Arts London,Q1,How good are staff at explaining things?,Teaching on my course,86.2,13.8,3241,CAH25,Design and creative performing arts,2024
10005261,University of the Arts London,Q7,How well have the assignments and assessments allowed you to demonstrate what you have learned?,Assessment and feedback,76.1,23.9,3241,CAH25,Design and creative performing arts,2024
10005261,University of the Arts London,Q11,How easy is it to contact teaching staff when you need to?,Academic support,85.8,14.2,3241,CAH25,Design and creative performing arts,2024
10005261,University of the Arts London,Q15,How well have the library resources supported your learning?,Learning resources,85.4,14.6,3241,CAH25,Design and creative performing arts,2024
10005261,University of the Arts London,Q17,To what extent do you get the right opportunities to give feedback on your course?,Student voice,79.3,20.7,3241,CAH25,Design and creative performing arts,2024
10005261,University of the Arts London,Q19,How clear is it that students feedback on the course is acted on?,Student voice,68.7,31.3,3241,CAH25,Design and creative performing arts,2024
